（親）ASIN,（子）ASIN,タイトル,セッション数 - 合計,セッション率 - 合計,ページビュー - 合計,ページビュー率 - 合計,おすすめ出品（おすすめ商品）の獲得率,注文された商品点数,ユニットセッション率,注文商品の売上額,注文品目総数,商品が返金されました,返金率
B0G2YQQZMV,B0G2CRS7N5,"[CALM.st] 猫 ねこ スリッパ もふもふ 室内 冬用 猫柄 ルームシューズ 洗える もこもこ レディース 保温 防寒 滑り止め 厚底 オフィス 男女兼用 (黒猫B, 標準, 日本の靴のサイズ寸法, 大人, 数値, 23.0 cm)",6,0.23%,6,0.17%,100.00%,1,16.67%,"￥1,780",1,0,0.00%
B0G2M8VJLW,B0G2CTRMP2,[CALM.st] 靴下 レディース ソックス くるぶし 綿 防臭 通気 吸汗 脱げない セット 無地 シンプル オフィス カジュアル スポーツ ギフト 3足 5足 (3),5,0.19%,8,0.23%,100.00%,1,20.00%,￥899,1,0,0.00%
4065335566,4065335566,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(21) (KCデラックス),6,0.23%,7,0.20%,50.00%,0,0.00%,￥0,0,0,0.00%
4065341779,4065341779,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(25) (KCデラックス),5,0.19%,6,0.17%,20.00%,0,0.00%,￥0,0,0,0.00%
4065341841,4065341841,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(26) (KCデラックス),3,0.12%,3,0.09%,0.00%,0,0.00%,￥0,0,0,0.00%
4065348757,4065348757,極彩色 東京卍リベンジャーズ Brilliant Full Color Edition(29) (KCデラックス),14,0.54%,17,0.48%,50.00%,0,0.00%,￥0,0,0,0.00%
B0CVLHMD17,B0CVLHMD17,少年ジャンプ(13) 2024年 3/11 号 [雑誌],1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0DCCCTYXB,B0DCCCTYXB,週刊少年ジャンプ (39号),10,0.39%,12,0.34%,0.00%,0,0.00%,￥0,0,0,0.00%
B0DH95QZYW,B0DH95QZYW,週刊少年ジャンプ (44号),6,0.23%,6,0.17%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FDWLJK1M,B0FD8Y31YT,"[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり (JP, アルファベット, 2L, ブラック)",4,0.16%,8,0.23%,62.50%,0,0.00%,￥0,0,0,0.00%
B0FDWLJK1M,B0FD8YG8KN,"[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり (JP, アルファベット, L, ブラック)",2,0.08%,4,0.11%,25.00%,0,0.00%,￥0,0,0,0.00%
B0FDWLJK1M,B0FD8Z1D5W,"[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり (JP, アルファベット, 3L, ブラック)",2,0.08%,2,0.06%,50.00%,0,0.00%,￥0,0,0,0.00%
B0FDWLJK1M,B0FD8Z8S95,"[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり (JP, アルファベット, 4L, ブラック)",2,0.08%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWLJK1M,B0FD8ZB74B,"[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり (JP, アルファベット, M, ブラック)",8,0.31%,9,0.26%,88.89%,0,0.00%,￥0,0,0,0.00%
B0FVNXZGFQ,B0FDBG7DB8,"[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通勤 出張 兼用 (グレー, L)",3,0.12%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVNXZGFQ,B0FDBK2T7Y,"[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通勤 出張 兼用 (ブラック, S)",14,0.54%,14,0.40%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVNXZGFQ,B0FDBLGMHK,"[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通勤 出張 兼用 (ブラック, L)",7,0.27%,9,0.26%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVNSW9PB,B0FDBN8TWQ,[CALM.st] メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショルダー ファスナー (シャンパン),23,0.89%,23,0.65%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVNSW9PB,B0FDBNCS9L,[CALM.st] メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショルダー ファスナー (カジュアルブラック),27,1.05%,33,0.94%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVNSW9PB,B0FDBNL8CM,[CALM.st] メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショルダー ファスナー (ブラック),49,1.91%,107,3.04%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDG685PG,B0FDG685PG,[CALM.st] レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マキシ丈 きれいめ,1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FDGHSR2K,B0FDGDCJRD,"[CALM.st] サテン キャミソール レディース インナー スクエアネック 肩紐隠し タンクトップ 重ね着 トップス (JP, アルファベット, XL, ブラック)",69,2.68%,103,2.92%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDGHSR2K,B0FDGDPSLF,"[CALM.st] サテン キャミソール レディース インナー スクエアネック 肩紐隠し タンクトップ 重ね着 トップス (JP, アルファベット, L, ブラック)",25,0.97%,29,0.82%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDGHSR2K,B0FDGFBB13,"[CALM.st] サテン キャミソール レディース インナー スクエアネック 肩紐隠し タンクトップ 重ね着 トップス (JP, アルファベット, XL, ホワイト)",17,0.66%,18,0.51%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDGHSR2K,B0FDGJSYX4,"[CALM.st] サテン キャミソール レディース インナー スクエアネック 肩紐隠し タンクトップ 重ね着 トップス (JP, アルファベット, L, ホワイト)",13,0.51%,15,0.43%,93.33%,0,0.00%,￥0,0,0,0.00%
B0FDLGKRZP,B0FDGT5TG7,"[CALM.st] サテン ナイト ガウン レース レディース Vネック 大きいサイズ ネグリジェ ルーム ワンピース (ホワイト, L)",1,0.04%,1,0.03%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDLGKRZP,B0FDGTBBH3,"[CALM.st] サテン ナイト ガウン レース レディース Vネック 大きいサイズ ネグリジェ ルーム ワンピース (アプリコット, M)",1,0.04%,1,0.03%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDLGKRZP,B0FDGTCKCF,"[CALM.st] サテン ナイト ガウン レース レディース Vネック 大きいサイズ ネグリジェ ルーム ワンピース (ホワイト, M)",2,0.08%,2,0.06%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDRD4JZ4,B0FDR4VJ43,"[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩せ レディース フレンチ ミディアム (JP, アルファベット, M, ブラック)",2,0.08%,2,0.06%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FDRD4JZ4,B0FDR6G9B9,"[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩せ レディース フレンチ ミディアム (JP, アルファベット, L, ブラック)",3,0.12%,5,0.14%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWLLPQP,B0FDR6LYW3,"[CALM.st] ヘンリーネック Tシャツ 半袖 レディース 綿麻 サラサラ 無地 体型カバー 涼感 トップス 高見え (JP, アルファベット, M, ホワイト)",4,0.16%,4,0.11%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0FDR6VWCF,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ベージュ, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",33,1.28%,50,1.42%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDRD4JZ4,B0FDR7DQVW,"[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩せ レディース フレンチ ミディアム (JP, アルファベット, XL, ブラック)",4,0.16%,6,0.17%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0FDR94HF4,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ベージュ, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",14,0.54%,17,0.48%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWLLPQP,B0FDR9HNBS,"[CALM.st] ヘンリーネック Tシャツ 半袖 レディース 綿麻 サラサラ 無地 体型カバー 涼感 トップス 高見え (JP, アルファベット, L, ホワイト)",2,0.08%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0FDRCBDV5,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (グレー, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",8,0.31%,10,0.28%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVNXZGFQ,B0FDW762PC,"[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通勤 出張 兼用 (グレー, M)",1,0.04%,1,0.03%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVNXZGFQ,B0FDWG61HK,"[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通勤 出張 兼用 (ブルー, L)",2,0.08%,2,0.06%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWLJK1M,B0FDWLJK1M,[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり,1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FVNXZGFQ,B0FGVFJP14,"[CALM.st] ビジネス バッグ メンズ 2WAY 大容量 軽量 撥水 パソコン 収納 就活 通勤 出張 兼用 (ブラック, M)",8,0.31%,8,0.23%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FGVH8P89,B0FGVG6N79,"[CALM.st] レディース サンダル 厚底 スポーツ マジックテープ 幅広 立ち仕事 ランニング レジャー 海 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",3,0.12%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FGVH8P89,B0FGVGMTY5,"[CALM.st] レディース サンダル 厚底 スポーツ マジックテープ 幅広 立ち仕事 ランニング レジャー 海 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",3,0.12%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FGVH8P89,B0FGVJMHZQ,"[CALM.st] レディース サンダル 厚底 スポーツ マジックテープ 幅広 立ち仕事 ランニング レジャー 海 (ホワイト, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FGVLZD3B,B0FGVLZTQG,"[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷房 花柄 フレア (JP, アルファベット, L, ブラック(刺繍))",1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FGVLZD3B,B0FGVN8R5Y,"[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷房 花柄 フレア (JP, アルファベット, L, ホワイト（刺繍）)",1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FGVLZD3B,B0FGVP3K1T,"[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷房 花柄 フレア (JP, アルファベット, M, ブラック(刺繍))",1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FGVLZD3B,B0FGVQVTYK,"[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷房 花柄 フレア (JP, アルファベット, M, ホワイト（刺繍）)",1,0.04%,1,0.03%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FGWL2QPR,B0FGWKBLRS,"[CALM.st] サンダル 厚底 作業 靴 メンズ ビーチ 軽量 スポーティー 日常 レジャー フラット フッドベット (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",10,0.39%,25,0.71%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FGVH8P89,B0FJ6B67VQ,"[CALM.st] レディース サンダル 厚底 スポーツ マジックテープ 幅広 立ち仕事 ランニング レジャー 海 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 23.5 cm)",3,0.12%,3,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FGVLZD3B,B0FJG6MWKH,"[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷房 花柄 フレア (JP, アルファベット, XL, ホワイト（ストライプ）)",1,0.04%,1,0.03%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FGVLZD3B,B0FJG6QSZN,"[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷房 花柄 フレア (JP, アルファベット, XL, ブラック（ストライプ）)",1,0.04%,1,0.03%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FGVH8P89,B0FJSK34BF,"[CALM.st] レディース サンダル 厚底 スポーツ マジックテープ 幅広 立ち仕事 ランニング レジャー 海 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 23.5 cm)",2,0.08%,2,0.06%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FGWL2QPR,B0FJXBL549,"[CALM.st] サンダル 厚底 作業 靴 メンズ ビーチ 軽量 スポーティー 日常 レジャー フラット フッドベット (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 26.0 cm)",63,2.45%,75,2.13%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0FJXSH31L,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (グレー, 日本の靴のサイズ寸法, 大人, 数値, 24.5 cm)",6,0.23%,10,0.28%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FK3CQZPZ,B0FK3D6RHZ,"[CALM.st] スカート ミニ ミニスカ レディース コスプレ Aライン ベルト インナー 付き マイクロ プリーツ (JP, アルファベット, L, グレー)",76,2.95%,155,4.40%,99.23%,0,0.00%,￥0,0,0,0.00%
B0FK3TJSSH,B0FK3JQGCF,"[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 26.0 cm)",17,0.66%,21,0.60%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FK3TJSSH,B0FK3LYQNM,"[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地 (ブラックレッド, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",7,0.27%,7,0.20%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FK3TJSSH,B0FK3MP5PG,"[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地 (ブラックレッド, 日本の靴のサイズ寸法, 大人, 数値, 26.0 cm)",8,0.31%,9,0.26%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FK3TJSSH,B0FK3NP9QN,"[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地 (ブラックレッド, 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",9,0.35%,9,0.26%,100.00%,0,0.00%,￥0,0,0,0.00%
